"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2019-01-15 10:12:13.614987,FALSE,FALSE,0,FALSE,2019-01-15 10:12:13.614987,0
2019-01-15 18:52:08.632494,TRUE,FALSE,0,FALSE,2019-01-15 18:52:08.632494,0
2019-01-16 09:53:17.367506,FALSE,FALSE,0,FALSE,2019-01-16 09:53:17.367506,0
2019-01-16 19:01:00.785502,TRUE,FALSE,0,FALSE,2019-01-16 19:01:00.785502,0
2019-01-17 09:50:41.925371,FALSE,FALSE,0,FALSE,2019-01-17 09:50:41.925371,0
2019-01-17 18:52:35.220737,TRUE,FALSE,0,FALSE,2019-01-17 18:52:35.220737,0
2019-01-18 10:05:41.925371,FALSE,FALSE,0,FALSE,2019-01-18 10:05:41.925371,0
2019-01-18 18:58:13.513502,TRUE,FALSE,0,FALSE,2019-01-18 18:58:13.513502,0
2019-01-19 10:15:07.615297,FALSE,FALSE,0,FALSE,2019-01-19 10:15:07.615297,0
2019-01-19 18:52:08.632494,TRUE,FALSE,0,FALSE,2019-01-19 18:52:08.632494,0
2019-01-20 10:19:13.145621,FALSE,FALSE,0,FALSE,2019-01-20 10:19:13.145621,0
2019-01-20 18:53:52.307205,TRUE,FALSE,0,FALSE,2019-01-20 18:53:52.307205,0
2019-01-21 10:13:17.367506,FALSE,FALSE,0,FALSE,2019-01-21 10:13:17.367506,0
2019-01-21 19:00:55.440013,TRUE,FALSE,0,FALSE,2019-01-21 19:00:55.440013,0
2019-01-22 10:16:33.692795,FALSE,FALSE,0,FALSE,2019-01-22 10:16:33.692795,0
2019-01-22 18:55:18.384703,TRUE,FALSE,0,FALSE,2019-01-22 18:55:18.384703,0
2019-01-23 10:08:31.216327,FALSE,FALSE,0,FALSE,2019-01-23 10:08:31.216327,0
2019-01-23 18:51:00.785502,TRUE,FALSE,0,FALSE,2019-01-23 18:51:00.785502,0
2019-01-24 10:05:07.615297,FALSE,FALSE,0,FALSE,2019-01-24 10:05:07.615297,0
2019-01-24 18:53:41.768346,TRUE,FALSE,0,FALSE,2019-01-24 18:53:41.768346,0
2019-01-25 10:00:41.925371,FALSE,FALSE,0,FALSE,2019-01-25 10:00:41.925371,0
2019-01-25 19:01:25.533285,TRUE,FALSE,0,FALSE,2019-01-25 19:01:25.533285,0
2019-01-26 09:56:43.231654,FALSE,FALSE,0,FALSE,2019-01-26 09:56:43.231654,0
2019-01-26 19:12:21.891979,TRUE,FALSE,0,FALSE,2019-01-26 19:12:21.891979,0
2019-01-27 10:00:55.535101,FALSE,FALSE,0,FALSE,2019-01-27 10:00:55.535101,0
2019-01-27 18:59:08.686143,TRUE,FALSE,0,FALSE,2019-01-27 18:59:08.686143,0
2019-01-28 10:01:41.890561,FALSE,FALSE,0,FALSE,2019-01-28 10:01:41.890561,0
2019-01-28 18:53:40.768346,TRUE,FALSE,0,FALSE,2019-01-28 18:53:40.768346,0
2019-01-29 10:01:16.031061,FALSE,FALSE,0,FALSE,2019-01-29 10:01:16.031061,0
2019-01-29 19:05:17.384703,TRUE,FALSE,0,FALSE,2019-01-29 19:05:17.384703,0
2019-01-30 10:08:16.367506,FALSE,FALSE,0,FALSE,2019-01-30 10:08:16.367506,0
2019-01-30 19:16:30.944505,TRUE,FALSE,0,FALSE,2019-01-30 19:16:30.944505,0
2019-01-31 10:00:06.615297,FALSE,FALSE,0,FALSE,2019-01-31 10:00:06.615297,0
2019-01-31 19:01:25.533285,TRUE,FALSE,0,FALSE,2019-01-31 19:01:25.533285,0
2019-02-01 10:03:12.942861,FALSE,FALSE,0,FALSE,2019-02-01 10:03:12.942861,0
2019-02-01 19:05:54.440013,TRUE,FALSE,0,FALSE,2019-02-01 19:05:54.440013,0
2019-02-02 10:00:44.467478,FALSE,FALSE,0,FALSE,2019-02-02 10:00:44.467478,0
2019-02-02 19:00:54.440013,TRUE,FALSE,0,FALSE,2019-02-02 19:00:54.440013,0
2019-02-03 09:58:12.942861,FALSE,FALSE,0,FALSE,2019-02-03 09:58:12.942861,0
2019-02-03 19:13:21.564171,TRUE,FALSE,0,FALSE,2019-02-03 19:13:21.564171,0
2019-02-04 09:56:43.231654,FALSE,FALSE,0,FALSE,2019-02-04 09:56:43.231654,0
2019-02-04 19:17:07.632494,TRUE,FALSE,0,FALSE,2019-02-04 19:17:07.632494,0
2019-02-05 09:59:24.214498,FALSE,FALSE,0,FALSE,2019-02-05 09:59:24.214498,0
2019-02-05 19:07:29.315867,TRUE,FALSE,0,FALSE,2019-02-05 19:07:29.315867,0
2019-02-06 09:44:45.430083,FALSE,FALSE,0,FALSE,2019-02-06 09:44:45.430083,0
2019-02-06 19:17:29.315867,TRUE,FALSE,0,FALSE,2019-02-06 19:17:29.315867,0
2019-02-07 09:52:06.977735,FALSE,FALSE,0,FALSE,2019-02-07 09:52:06.977735,0
2019-02-07 19:24:08.686143,TRUE,FALSE,0,FALSE,2019-02-07 19:24:08.686143,0
2019-02-08 09:56:32.692795,FALSE,FALSE,0,FALSE,2019-02-08 09:56:32.692795,0
2019-02-08 19:29:43.074629,TRUE,FALSE,0,FALSE,2019-02-08 19:29:43.074629,0
2019-02-09 09:52:12.614987,FALSE,FALSE,0,FALSE,2019-02-09 09:52:12.614987,0
2019-02-09 19:29:43.074629,TRUE,FALSE,0,FALSE,2019-02-09 19:29:43.074629,0
2019-02-10 09:56:10.623765,FALSE,FALSE,0,FALSE,2019-02-10 09:56:10.623765,0
