"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2013-03-10 10:30:59.077554,FALSE,FALSE,0,FALSE,2013-03-10 10:30:59.077554,0
2013-03-10 21:40:40.701634,TRUE,FALSE,0,FALSE,2013-03-10 21:40:40.701634,0
2013-03-11 10:29:17.217567,FALSE,FALSE,0,FALSE,2013-03-11 10:29:17.217567,0
2013-03-11 21:35:28.539954,TRUE,FALSE,0,FALSE,2013-03-11 21:35:28.539954,0
2013-03-12 10:27:55.85239,FALSE,FALSE,0,FALSE,2013-03-12 10:27:55.85239,0
2013-03-12 21:36:09.629849,TRUE,FALSE,0,FALSE,2013-03-12 21:36:09.629849,0
2013-03-13 10:31:06.715635,FALSE,FALSE,0,FALSE,2013-03-13 10:31:06.715635,0
2013-03-13 21:36:03.975649,TRUE,FALSE,0,FALSE,2013-03-13 21:36:03.975649,0
2013-03-14 10:29:33.053635,FALSE,FALSE,0,FALSE,2013-03-14 10:29:33.053635,0
2013-03-14 21:41:38.426991,TRUE,FALSE,0,FALSE,2013-03-14 21:41:38.426991,0
2013-03-15 10:25:50.591749,FALSE,FALSE,0,FALSE,2013-03-15 10:25:50.591749,0
2013-03-15 21:42:11.286551,TRUE,FALSE,0,FALSE,2013-03-15 21:42:11.286551,0
2013-03-16 10:27:12.752562,FALSE,FALSE,0,FALSE,2013-03-16 10:27:12.752562,0
2013-03-16 21:38:28.002584,TRUE,FALSE,0,FALSE,2013-03-16 21:38:28.002584,0
2013-03-17 10:27:49.122651,FALSE,FALSE,0,FALSE,2013-03-17 10:27:49.122651,0
2013-03-17 21:37:11.286551,TRUE,FALSE,0,FALSE,2013-03-17 21:37:11.286551,0
2013-03-18 10:25:39.712631,FALSE,FALSE,0,FALSE,2013-03-18 10:25:39.712631,0
2013-03-18 21:36:50.877349,TRUE,FALSE,0,FALSE,2013-03-18 21:36:50.877349,0
2013-03-19 10:28:03.268343,FALSE,FALSE,0,FALSE,2013-03-19 10:28:03.268343,0
2013-03-19 21:36:38.514756,TRUE,FALSE,0,FALSE,2013-03-19 21:36:38.514756,0
2013-03-20 10:26:11.721163,FALSE,FALSE,0,FALSE,2013-03-20 10:26:11.721163,0
2013-03-20 21:41:09.629849,TRUE,FALSE,0,FALSE,2013-03-20 21:41:09.629849,0
2013-03-21 10:23:29.451695,FALSE,FALSE,0,FALSE,2013-03-21 10:23:29.451695,0
2013-03-21 21:37:59.150036,TRUE,FALSE,0,FALSE,2013-03-21 21:37:59.150036,0
2013-03-22 10:24:57.047604,FALSE,FALSE,0,FALSE,2013-03-22 10:24:57.047604,0
2013-03-22 21:38:04.041631,TRUE,FALSE,0,FALSE,2013-03-22 21:38:04.041631,0
2013-03-23 10:22:14.89233,FALSE,FALSE,0,FALSE,2013-03-23 10:22:14.89233,0
2013-03-23 21:39:55.229996,TRUE,FALSE,0,FALSE,2013-03-23 21:39:55.229996,0
2013-03-24 10:21:00.013682,FALSE,FALSE,0,FALSE,2013-03-24 10:21:00.013682,0
2013-03-24 21:38:40.922446,TRUE,FALSE,0,FALSE,2013-03-24 21:38:40.922446,0
2013-03-25 10:18:37.161183,FALSE,FALSE,0,FALSE,2013-03-25 10:18:37.161183,0
2013-03-25 21:36:58.201886,TRUE,FALSE,0,FALSE,2013-03-25 21:36:58.201886,0
2013-03-26 10:21:36.158588,FALSE,FALSE,0,FALSE,2013-03-26 10:21:36.158588,0
2013-03-26 21:54:15.009366,TRUE,FALSE,0,FALSE,2013-03-26 21:54:15.009366,0
2013-03-27 10:07:55.82947,FALSE,FALSE,0,FALSE,2013-03-27 10:07:55.82947,0
2013-03-27 22:07:48.988715,TRUE,FALSE,0,FALSE,2013-03-27 22:07:48.988715,0
2013-03-28 10:01:47.244737,FALSE,FALSE,0,FALSE,2013-03-28 10:01:47.244737,0
2013-03-28 21:49:32.558131,TRUE,FALSE,0,FALSE,2013-03-28 21:49:32.558131,0
2013-03-29 10:15:39.712631,FALSE,FALSE,0,FALSE,2013-03-29 10:15:39.712631,0
2013-03-29 22:07:44.319438,TRUE,FALSE,0,FALSE,2013-03-29 22:07:44.319438,0
2013-03-30 09:53:37.035323,FALSE,FALSE,0,FALSE,2013-03-30 09:53:37.035323,0
2013-03-30 22:06:56.780084,TRUE,FALSE,0,FALSE,2013-03-30 22:06:56.780084,0
2013-03-31 10:33:49.941775,FALSE,FALSE,0,FALSE,2013-03-31 10:33:49.941775,0
2013-03-31 21:52:39.961003,TRUE,FALSE,0,FALSE,2013-03-31 21:52:39.961003,0
2013-04-01 10:35:31.473691,FALSE,FALSE,0,FALSE,2013-04-01 10:35:31.473691,0
2013-04-01 21:47:03.582723,TRUE,FALSE,0,FALSE,2013-04-01 21:47:03.582723,0
2013-04-02 10:34:59.915893,FALSE,FALSE,0,FALSE,2013-04-02 10:34:59.915893,0
2013-04-02 21:43:47.199041,TRUE,FALSE,0,FALSE,2013-04-02 21:43:47.199041,0
2013-04-03 10:34:01.489749,FALSE,FALSE,0,FALSE,2013-04-03 10:34:01.489749,0
2013-04-03 21:48:56.323738,TRUE,FALSE,0,FALSE,2013-04-03 21:48:56.323738,0
2013-04-04 10:24:40.562412,FALSE,FALSE,0,FALSE,2013-04-04 10:24:40.562412,0
2013-04-04 21:48:16.977776,TRUE,FALSE,0,FALSE,2013-04-04 21:48:16.977776,0
2013-04-05 10:21:12.372161,FALSE,FALSE,0,FALSE,2013-04-05 10:21:12.372161,0
2013-04-05 21:52:08.973157,TRUE,FALSE,0,FALSE,2013-04-05 21:52:08.973157,0
2013-04-06 10:32:58.460195,FALSE,FALSE,0,FALSE,2013-04-06 10:32:58.460195,0
2013-04-06 21:51:54.234974,TRUE,FALSE,0,FALSE,2013-04-06 21:51:54.234974,0
2013-04-07 10:23:03.586741,FALSE,FALSE,0,FALSE,2013-04-07 10:23:03.586741,0
2013-04-07 21:46:19.32943,TRUE,FALSE,0,FALSE,2013-04-07 21:46:19.32943,0
2013-04-08 10:16:04.062907,FALSE,FALSE,0,FALSE,2013-04-08 10:16:04.062907,0
2013-04-08 20:56:33.672645,TRUE,FALSE,0,FALSE,2013-04-08 20:56:33.672645,0
2013-04-09 10:20:31.473691,FALSE,FALSE,0,FALSE,2013-04-09 10:20:31.473691,0
