"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-11-28 09:52:26.130191,FALSE,FALSE,0,FALSE,2016-11-28 09:52:26.130191,0
2016-11-28 18:26:52.8102,TRUE,FALSE,0,FALSE,2016-11-28 18:26:52.8102,0
2016-11-29 10:13:08.880872,FALSE,FALSE,0,FALSE,2016-11-29 10:13:08.880872,0
2016-11-29 18:29:33.315141,TRUE,FALSE,0,FALSE,2016-11-29 18:29:33.315141,0
2016-11-30 10:12:52.332469,FALSE,FALSE,0,FALSE,2016-11-30 10:12:52.332469,0
2016-11-30 18:23:17.667531,TRUE,FALSE,0,FALSE,2016-11-30 18:23:17.667531,0
2016-12-01 10:13:20.463074,FALSE,FALSE,0,FALSE,2016-12-01 10:13:20.463074,0
2016-12-01 18:21:33.855488,TRUE,FALSE,0,FALSE,2016-12-01 18:21:33.855488,0
2016-12-02 10:07:26.130191,FALSE,FALSE,0,FALSE,2016-12-02 10:07:26.130191,0
2016-12-02 18:18:43.869809,TRUE,FALSE,0,FALSE,2016-12-02 18:18:43.869809,0
2016-12-03 10:17:52.332469,FALSE,FALSE,0,FALSE,2016-12-03 10:17:52.332469,0
2016-12-03 18:13:43.869809,TRUE,FALSE,0,FALSE,2016-12-03 18:13:43.869809,0
2016-12-04 10:06:36.684859,FALSE,FALSE,0,FALSE,2016-12-04 10:06:36.684859,0
2016-12-04 18:17:47.969285,TRUE,FALSE,0,FALSE,2016-12-04 18:17:47.969285,0
2016-12-05 10:11:36.684859,FALSE,FALSE,0,FALSE,2016-12-05 10:11:36.684859,0
2016-12-05 18:26:24.092771,TRUE,FALSE,0,FALSE,2016-12-05 18:26:24.092771,0
2016-12-06 10:14:17.1898,FALSE,FALSE,0,FALSE,2016-12-06 10:14:17.1898,0
2016-12-06 18:09:33.315141,TRUE,FALSE,0,FALSE,2016-12-06 18:09:33.315141,0
2016-12-07 10:26:36.684859,FALSE,FALSE,0,FALSE,2016-12-07 10:26:36.684859,0
2016-12-07 18:33:17.667531,TRUE,FALSE,0,FALSE,2016-12-07 18:33:17.667531,0
2016-12-08 10:16:36.684859,FALSE,FALSE,0,FALSE,2016-12-08 10:16:36.684859,0
2016-12-08 18:18:01.119128,TRUE,FALSE,0,FALSE,2016-12-08 18:18:01.119128,0
2016-12-09 10:14:17.1898,FALSE,FALSE,0,FALSE,2016-12-09 10:14:17.1898,0
2016-12-09 18:23:01.119128,TRUE,FALSE,0,FALSE,2016-12-09 18:23:01.119128,0
2016-12-10 10:17:26.130191,FALSE,FALSE,0,FALSE,2016-12-10 10:17:26.130191,0
2016-12-10 18:18:43.869809,TRUE,FALSE,0,FALSE,2016-12-10 18:18:43.869809,0
2016-12-11 10:27:52.332469,FALSE,FALSE,0,FALSE,2016-12-11 10:27:52.332469,0
2016-12-11 18:16:52.8102,TRUE,FALSE,0,FALSE,2016-12-11 18:16:52.8102,0
2016-12-12 10:23:41.307766,FALSE,FALSE,0,FALSE,2016-12-12 10:23:41.307766,0
2016-12-12 18:23:43.869809,TRUE,FALSE,0,FALSE,2016-12-12 18:23:43.869809,0
2016-12-13 10:14:17.1898,FALSE,FALSE,0,FALSE,2016-12-13 10:14:17.1898,0
2016-12-13 18:19:33.315141,TRUE,FALSE,0,FALSE,2016-12-13 18:19:33.315141,0
2016-12-14 10:22:26.130191,FALSE,FALSE,0,FALSE,2016-12-14 10:22:26.130191,0
2016-12-14 18:13:43.869809,TRUE,FALSE,0,FALSE,2016-12-14 18:13:43.869809,0
