"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-11-23 10:04:15.522156,FALSE,FALSE,0,FALSE,2016-11-23 10:04:15.522156,0
2016-11-23 18:22:37.091757,TRUE,FALSE,0,FALSE,2016-11-23 18:22:37.091757,0
2016-11-24 09:59:15.522156,FALSE,FALSE,0,FALSE,2016-11-24 09:59:15.522156,0
2016-11-24 18:21:15.776335,TRUE,FALSE,0,FALSE,2016-11-24 18:21:15.776335,0
2016-11-25 09:44:52.908243,FALSE,FALSE,0,FALSE,2016-11-25 09:44:52.908243,0
2016-11-25 18:35:57.216671,TRUE,FALSE,0,FALSE,2016-11-25 18:35:57.216671,0
2016-11-26 09:57:53.109899,FALSE,FALSE,0,FALSE,2016-11-26 09:57:53.109899,0
2016-11-26 18:22:37.091757,TRUE,FALSE,0,FALSE,2016-11-26 18:22:37.091757,0
2016-11-27 09:56:33.783329,FALSE,FALSE,0,FALSE,2016-11-27 09:56:33.783329,0
2016-11-27 18:21:46.760494,TRUE,FALSE,0,FALSE,2016-11-27 18:21:46.760494,0
2016-11-28 10:01:15.223665,FALSE,FALSE,0,FALSE,2016-11-28 10:01:15.223665,0
2016-11-28 18:23:15.477844,TRUE,FALSE,0,FALSE,2016-11-28 18:23:15.477844,0
2016-11-29 09:59:16.522156,FALSE,FALSE,0,FALSE,2016-11-29 09:59:16.522156,0
2016-11-29 18:26:46.760494,TRUE,FALSE,0,FALSE,2016-11-29 18:26:46.760494,0
2016-11-30 10:15:17.51986,FALSE,FALSE,0,FALSE,2016-11-30 10:15:17.51986,0
2016-11-30 18:23:15.477844,TRUE,FALSE,0,FALSE,2016-11-30 18:23:15.477844,0
2016-12-01 10:15:34.045553,FALSE,FALSE,0,FALSE,2016-12-01 10:15:34.045553,0
2016-12-01 18:21:46.760494,TRUE,FALSE,0,FALSE,2016-12-01 18:21:46.760494,0
2016-12-02 10:15:34.045553,FALSE,FALSE,0,FALSE,2016-12-02 10:15:34.045553,0
2016-12-02 18:19:13.316989,TRUE,FALSE,0,FALSE,2016-12-02 18:19:13.316989,0
2016-12-03 10:19:16.522156,FALSE,FALSE,0,FALSE,2016-12-03 10:19:16.522156,0
2016-12-03 18:20:08.207943,TRUE,FALSE,0,FALSE,2016-12-03 18:20:08.207943,0
2016-12-04 10:09:17.522156,FALSE,FALSE,0,FALSE,2016-12-04 10:09:17.522156,0
2016-12-04 18:18:16.477844,TRUE,FALSE,0,FALSE,2016-12-04 18:18:16.477844,0
2016-12-05 10:08:19.683011,FALSE,FALSE,0,FALSE,2016-12-05 10:08:19.683011,0
2016-12-05 18:26:17.776335,TRUE,FALSE,0,FALSE,2016-12-05 18:26:17.776335,0
2016-12-06 10:18:13.161734,FALSE,FALSE,0,FALSE,2016-12-06 10:18:13.161734,0
2016-12-06 18:20:13.070884,TRUE,FALSE,0,FALSE,2016-12-06 18:20:13.070884,0
2016-12-07 10:14:17.522156,FALSE,FALSE,0,FALSE,2016-12-07 10:14:17.522156,0
2016-12-07 18:32:39.091757,TRUE,FALSE,0,FALSE,2016-12-07 18:32:39.091757,0
2016-12-08 10:09:54.908243,FALSE,FALSE,0,FALSE,2016-12-08 10:09:54.908243,0
2016-12-08 18:12:39.091757,TRUE,FALSE,0,FALSE,2016-12-08 18:12:39.091757,0
2016-12-09 10:09:54.908243,FALSE,FALSE,0,FALSE,2016-12-09 10:09:54.908243,0
2016-12-09 18:17:39.091757,TRUE,FALSE,0,FALSE,2016-12-09 18:17:39.091757,0
2016-12-10 10:09:18.522156,FALSE,FALSE,0,FALSE,2016-12-10 10:09:18.522156,0
2016-12-10 18:26:48.760494,TRUE,FALSE,0,FALSE,2016-12-10 18:26:48.760494,0
2016-12-11 10:24:49.023959,FALSE,FALSE,0,FALSE,2016-12-11 10:24:49.023959,0
2016-12-11 18:15:47.487072,TRUE,FALSE,0,FALSE,2016-12-11 18:15:47.487072,0
2016-12-12 10:21:17.223665,FALSE,FALSE,0,FALSE,2016-12-12 10:21:17.223665,0
2016-12-12 18:28:17.477844,TRUE,FALSE,0,FALSE,2016-12-12 18:28:17.477844,0
2016-12-13 10:14:49.023959,FALSE,FALSE,0,FALSE,2016-12-13 10:14:49.023959,0
2016-12-13 18:19:17.983019,TRUE,FALSE,0,FALSE,2016-12-13 18:19:17.983019,0
2016-12-14 10:19:18.522156,FALSE,FALSE,0,FALSE,2016-12-14 10:19:18.522156,0
2016-12-14 18:13:17.477844,TRUE,FALSE,0,FALSE,2016-12-14 18:13:17.477844,0
2016-12-15 10:27:44.562692,FALSE,FALSE,0,FALSE,2016-12-15 10:27:44.562692,0
2016-12-15 18:11:48.760494,TRUE,FALSE,0,FALSE,2016-12-15 18:11:48.760494,0
2016-12-16 10:15:47.239506,FALSE,FALSE,0,FALSE,2016-12-16 10:15:47.239506,0
2016-12-16 18:22:00.954447,TRUE,FALSE,0,FALSE,2016-12-16 18:22:00.954447,0
2016-12-17 10:23:04.172064,FALSE,FALSE,0,FALSE,2016-12-17 10:23:04.172064,0
2016-12-17 18:28:18.477844,TRUE,FALSE,0,FALSE,2016-12-17 18:28:18.477844,0
2016-12-18 10:26:36.783329,FALSE,FALSE,0,FALSE,2016-12-18 10:26:36.783329,0
2016-12-18 18:12:41.091757,TRUE,FALSE,0,FALSE,2016-12-18 18:12:41.091757,0
