"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2018-04-01 09:00:41.130191,FALSE,FALSE,0,FALSE,2018-04-01 09:00:41.130191,0
2018-04-01 20:26:58.869809,TRUE,FALSE,0,FALSE,2018-04-01 20:26:58.869809,0
2018-04-02 08:53:00.907229,FALSE,FALSE,0,FALSE,2018-04-02 08:53:00.907229,0
2018-04-02 20:30:07.8102,TRUE,FALSE,0,FALSE,2018-04-02 20:30:07.8102,0
2018-04-03 08:52:32.1898,FALSE,FALSE,0,FALSE,2018-04-03 08:52:32.1898,0
2018-04-03 20:27:48.315141,TRUE,FALSE,0,FALSE,2018-04-03 20:27:48.315141,0
2018-04-04 08:51:07.332469,FALSE,FALSE,0,FALSE,2018-04-04 08:51:07.332469,0
2018-04-04 20:30:07.8102,TRUE,FALSE,0,FALSE,2018-04-04 20:30:07.8102,0
2018-04-05 08:45:41.130191,FALSE,FALSE,0,FALSE,2018-04-05 08:45:41.130191,0
2018-04-05 20:26:58.869809,TRUE,FALSE,0,FALSE,2018-04-05 20:26:58.869809,0
2018-04-06 08:49:51.684859,FALSE,FALSE,0,FALSE,2018-04-06 08:49:51.684859,0
2018-04-06 20:16:58.869809,TRUE,FALSE,0,FALSE,2018-04-06 20:16:58.869809,0
2018-04-07 08:54:51.684859,FALSE,FALSE,0,FALSE,2018-04-07 08:54:51.684859,0
2018-04-07 20:27:48.315141,TRUE,FALSE,0,FALSE,2018-04-07 20:27:48.315141,0
2018-04-08 08:44:51.684859,FALSE,FALSE,0,FALSE,2018-04-08 08:44:51.684859,0
2018-04-08 20:31:04.536926,TRUE,FALSE,0,FALSE,2018-04-08 20:31:04.536926,0
2018-04-09 08:52:32.1898,FALSE,FALSE,0,FALSE,2018-04-09 08:52:32.1898,0
2018-04-09 20:40:55.899875,TRUE,FALSE,0,FALSE,2018-04-09 20:40:55.899875,0
2018-04-10 08:40:41.130191,FALSE,FALSE,0,FALSE,2018-04-10 08:40:41.130191,0
2018-04-10 20:36:58.869809,TRUE,FALSE,0,FALSE,2018-04-10 20:36:58.869809,0
2018-04-11 08:41:07.332469,FALSE,FALSE,0,FALSE,2018-04-11 08:41:07.332469,0
2018-04-11 20:39:33.049814,TRUE,FALSE,0,FALSE,2018-04-11 20:39:33.049814,0
2018-04-12 08:41:44.100125,FALSE,FALSE,0,FALSE,2018-04-12 08:41:44.100125,0
2018-04-12 20:37:48.315141,TRUE,FALSE,0,FALSE,2018-04-12 20:37:48.315141,0
