"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2018-03-20 09:07:48,FALSE,FALSE,NA,FALSE,2018-03-20 09:12:48,NA
2018-03-20 20:06:04,TRUE,FALSE,NA,FALSE,2018-03-20 20:06:04,NA
2018-03-21 08:53:57,FALSE,FALSE,NA,FALSE,2018-03-21 08:58:57,NA
2018-03-21 20:04:13,TRUE,FALSE,NA,FALSE,2018-03-21 20:04:13,NA
2018-03-22 08:52:06,FALSE,FALSE,NA,FALSE,2018-03-22 08:57:06,NA
2018-03-22 20:05:54,TRUE,FALSE,NA,FALSE,2018-03-22 20:05:54,NA
2018-03-23 08:42:33,FALSE,FALSE,NA,FALSE,2018-03-23 08:47:33,NA
2018-03-23 20:18:24,TRUE,FALSE,NA,FALSE,2018-03-23 20:18:24,NA
2018-03-24 08:41:17,FALSE,FALSE,NA,FALSE,2018-03-24 08:46:17,NA
2018-03-24 20:19:01,TRUE,FALSE,NA,FALSE,2018-03-24 16:53:24,NA
2018-03-25 08:56:17,FALSE,FALSE,NA,FALSE,2018-03-25 09:01:17,NA
2018-03-25 20:09:14,TRUE,FALSE,NA,FALSE,2018-03-25 20:09:14,NA
2018-03-26 08:47:33,FALSE,FALSE,NA,FALSE,2018-03-26 08:52:33,NA
2018-03-26 20:14:14,TRUE,FALSE,NA,FALSE,2018-03-26 20:14:14,NA
2018-03-27 08:33:58,FALSE,FALSE,NA,FALSE,2018-03-27 08:38:58,NA
2018-03-27 20:12:05,TRUE,FALSE,NA,FALSE,2018-03-27 20:12:05,NA
2018-03-28 08:38:58,FALSE,FALSE,NA,FALSE,2018-03-28 08:43:58,NA
2018-03-28 20:16:05,TRUE,FALSE,NA,FALSE,2018-03-28 20:16:05,NA
2018-03-29 08:36:17,FALSE,FALSE,NA,FALSE,2018-03-29 08:41:17,NA
2018-03-29 20:08:24,TRUE,FALSE,NA,FALSE,2018-03-29 20:08:24,NA
2018-03-30 08:38:58,FALSE,FALSE,NA,FALSE,2018-03-30 08:43:58,NA
2018-03-30 20:14:14,TRUE,FALSE,NA,FALSE,2018-03-30 20:14:14,NA
2018-03-31 08:33:10,FALSE,FALSE,NA,FALSE,2018-03-31 08:38:10,NA
2018-03-31 20:19:14,TRUE,FALSE,NA,FALSE,2018-03-31 20:19:14,NA
2018-04-01 08:37:33,FALSE,FALSE,NA,FALSE,2018-04-01 08:42:33,NA
2018-04-01 20:08:24,TRUE,FALSE,NA,FALSE,2018-04-01 20:08:24,NA
2018-04-02 08:33:54,FALSE,FALSE,NA,FALSE,2018-04-02 08:38:54,NA
2018-04-02 20:14:15,TRUE,FALSE,NA,FALSE,2018-04-02 20:14:15,NA
2018-04-03 08:34:18,FALSE,FALSE,NA,FALSE,2018-04-03 08:39:18,NA
2018-04-03 20:17:59,TRUE,FALSE,NA,FALSE,2018-04-03 20:17:59,NA
2018-04-04 08:32:34,FALSE,FALSE,NA,FALSE,2018-04-04 08:37:34,NA
2018-04-04 20:21:06,TRUE,FALSE,NA,FALSE,2018-04-04 20:21:06,NA
