"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2019-12-03 10:10:24,FALSE,FALSE,NA,FALSE,2019-12-03 10:15:24,NA
2019-12-03 18:24:50,TRUE,FALSE,NA,FALSE,2019-12-03 18:24:50,NA
2019-12-04 09:57:34,FALSE,FALSE,NA,FALSE,2019-12-04 10:02:34,NA
2019-12-04 18:20:59,TRUE,FALSE,NA,FALSE,2019-12-04 18:20:59,NA
2019-12-05 09:59:34,FALSE,FALSE,NA,FALSE,2019-12-05 10:04:34,NA
2019-12-05 19:09:18,TRUE,FALSE,NA,FALSE,2019-12-05 19:09:18,NA
2019-12-06 10:02:16,FALSE,FALSE,NA,FALSE,2019-12-06 10:07:16,NA
2019-12-06 18:26:16,TRUE,FALSE,NA,FALSE,2019-12-06 18:26:16,NA
2019-12-07 10:02:16,FALSE,FALSE,NA,FALSE,2019-12-07 10:07:16,NA
2019-12-07 18:21:16,TRUE,FALSE,NA,FALSE,2019-12-07 18:21:16,NA
2019-12-08 10:06:07,FALSE,FALSE,NA,FALSE,2019-12-08 10:11:07,NA
2019-12-08 18:20:08,TRUE,FALSE,NA,FALSE,2019-12-08 18:20:08,NA
2019-12-09 09:59:35,FALSE,FALSE,NA,FALSE,2019-12-09 10:04:35,NA
2019-12-09 18:22:33,TRUE,FALSE,NA,FALSE,2019-12-09 18:22:33,NA
2019-12-10 10:09:36,FALSE,FALSE,NA,FALSE,2019-12-10 10:14:36,NA
2019-12-10 18:21:17,TRUE,FALSE,NA,FALSE,2019-12-10 18:21:17,NA
2019-12-11 10:05:52,FALSE,FALSE,NA,FALSE,2019-12-11 10:10:52,NA
2019-12-11 18:31:01,TRUE,FALSE,NA,FALSE,2019-12-11 18:31:01,NA
2019-12-12 10:14:36,FALSE,FALSE,NA,FALSE,2019-12-12 10:19:36,NA
2019-12-12 18:32:33,TRUE,FALSE,NA,FALSE,2019-12-12 18:32:33,NA
2019-12-13 10:09:36,FALSE,FALSE,NA,FALSE,2019-12-13 10:14:36,NA
2019-12-13 18:31:02,TRUE,FALSE,NA,FALSE,2019-12-13 18:31:02,NA
2019-12-14 10:05:53,FALSE,FALSE,NA,FALSE,2019-12-14 10:10:53,NA
2019-12-14 18:32:34,TRUE,FALSE,NA,FALSE,2019-12-14 18:32:34,NA
2019-12-15 10:15:53,FALSE,FALSE,NA,FALSE,2019-12-15 10:20:53,NA
2019-12-15 18:24:34,TRUE,FALSE,NA,FALSE,2019-12-15 18:24:34,NA
2019-12-16 10:19:37,FALSE,FALSE,NA,FALSE,2019-12-16 10:24:37,NA
2019-12-16 18:14:53,TRUE,FALSE,NA,FALSE,2019-12-16 18:14:53,NA
2019-12-17 10:20:28,FALSE,FALSE,NA,FALSE,2019-12-17 10:25:28,NA
2019-12-17 18:25:42,TRUE,FALSE,NA,FALSE,2019-12-17 18:25:42,NA
2019-12-18 10:10:54,FALSE,FALSE,NA,FALSE,2019-12-18 10:15:54,NA
2019-12-18 18:32:35,TRUE,FALSE,NA,FALSE,2019-12-18 18:32:35,NA
2019-12-19 10:25:54,FALSE,FALSE,NA,FALSE,2019-12-19 10:30:54,NA
2019-12-19 18:27:35,TRUE,FALSE,NA,FALSE,2019-12-19 18:27:35,NA
2019-12-20 10:07:47,FALSE,FALSE,NA,FALSE,2019-12-20 10:12:47,NA
2019-12-20 18:21:03,TRUE,FALSE,NA,FALSE,2019-12-20 18:21:03,NA
2019-12-21 10:15:55,FALSE,FALSE,NA,FALSE,2019-12-21 10:20:55,NA
2019-12-21 18:21:20,TRUE,FALSE,NA,FALSE,2019-12-21 18:21:20,NA
