"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2013-04-13 08:33:47,FALSE,FALSE,NA,FALSE,2013-04-13 08:38:47,NA
2013-04-13 20:40:54,TRUE,FALSE,NA,FALSE,2013-04-13 20:40:54,NA
2013-04-14 08:36:28,FALSE,FALSE,NA,FALSE,2013-04-14 08:41:28,NA
2013-04-14 20:42:45,TRUE,FALSE,NA,FALSE,2013-04-14 20:42:45,NA
2013-04-15 08:37:37,FALSE,FALSE,NA,FALSE,2013-04-15 08:42:37,NA
2013-04-15 20:37:45,TRUE,FALSE,NA,FALSE,2013-04-15 20:37:45,NA
2013-04-16 08:32:10,FALSE,FALSE,NA,FALSE,2013-04-16 08:37:10,NA
2013-04-16 20:40:35,TRUE,FALSE,NA,FALSE,2013-04-16 20:40:35,NA
2013-04-17 08:32:22,FALSE,FALSE,NA,FALSE,2013-04-17 08:37:22,NA
2013-04-17 20:42:45,TRUE,FALSE,NA,FALSE,2013-04-17 20:42:45,NA
2013-04-18 08:23:38,FALSE,FALSE,NA,FALSE,2013-04-18 08:28:38,NA
2013-04-18 20:45:35,TRUE,FALSE,NA,FALSE,2013-04-18 20:45:35,NA
2013-04-19 08:33:19,FALSE,FALSE,NA,FALSE,2013-04-19 08:38:19,NA
2013-04-19 21:13:35,TRUE,FALSE,NA,FALSE,2013-04-19 21:13:35,NA
2013-04-20 09:23:19,FALSE,FALSE,NA,FALSE,2013-04-20 09:28:19,NA
2013-04-20 21:07:45,TRUE,FALSE,NA,FALSE,2013-04-20 21:07:45,NA
2013-04-21 09:40:38,FALSE,FALSE,NA,FALSE,2013-04-21 09:45:38,NA
2013-04-21 21:25:35,TRUE,FALSE,NA,FALSE,2013-04-21 21:25:35,NA
2013-04-22 10:05:38,FALSE,FALSE,NA,FALSE,2013-04-22 10:10:38,NA
2013-04-22 21:34:03,TRUE,FALSE,NA,FALSE,2013-04-22 17:37:45,NA
2013-04-23 10:16:28,FALSE,FALSE,NA,FALSE,2013-04-23 10:21:28,NA
2013-04-23 21:18:35,TRUE,FALSE,NA,FALSE,2013-04-23 21:18:35,NA
2013-04-24 10:35:38,FALSE,FALSE,NA,FALSE,2013-04-24 10:40:38,NA
2013-04-24 21:20:54,TRUE,FALSE,NA,FALSE,2013-04-24 21:20:54,NA
2013-04-25 10:37:10,FALSE,FALSE,NA,FALSE,2013-04-25 10:42:10,NA
2013-04-25 21:33:35,TRUE,FALSE,NA,FALSE,2013-04-25 21:33:35,NA
2013-04-26 10:45:38,FALSE,FALSE,NA,FALSE,2013-04-26 10:50:38,NA
2013-04-26 21:18:35,TRUE,FALSE,NA,FALSE,2013-04-26 21:18:35,NA
2013-04-27 10:46:54,FALSE,FALSE,NA,FALSE,2013-04-27 10:51:54,NA
2013-04-27 21:21:49,TRUE,FALSE,NA,FALSE,2013-04-27 21:21:49,NA
2013-04-28 10:48:00,FALSE,FALSE,NA,FALSE,2013-04-28 10:53:00,NA
2013-04-28 21:20:35,TRUE,FALSE,NA,FALSE,2013-04-28 21:20:35,NA
2013-04-29 10:46:28,FALSE,FALSE,NA,FALSE,2013-04-29 10:51:28,NA
2013-04-29 21:20:26,TRUE,FALSE,NA,FALSE,2013-04-29 21:20:26,NA
2013-04-30 10:48:47,FALSE,FALSE,NA,FALSE,2013-04-30 10:53:47,NA
2013-04-30 21:25:12,TRUE,FALSE,NA,FALSE,2013-04-30 21:25:12,NA
2013-05-01 10:50:38,FALSE,FALSE,NA,FALSE,2013-05-01 10:55:38,NA
2013-05-01 21:17:03,TRUE,FALSE,NA,FALSE,2013-05-01 21:17:03,NA
2013-05-02 10:56:28,FALSE,FALSE,NA,FALSE,2013-05-02 11:01:28,NA
2013-05-02 21:22:03,TRUE,FALSE,NA,FALSE,2013-05-02 21:22:03,NA
2013-05-03 10:51:54,FALSE,FALSE,NA,FALSE,2013-05-03 10:56:54,NA
2013-05-03 21:12:19,TRUE,FALSE,NA,FALSE,2013-05-03 21:12:19,NA
2013-05-04 10:56:54,FALSE,FALSE,NA,FALSE,2013-05-04 11:01:54,NA
2013-05-04 21:18:35,TRUE,FALSE,NA,FALSE,2013-05-04 21:18:35,NA
2013-05-05 10:55:38,FALSE,FALSE,NA,FALSE,2013-05-05 11:00:38,NA
2013-05-05 21:13:35,TRUE,FALSE,NA,FALSE,2013-05-05 21:13:35,NA
2013-05-06 11:01:54,FALSE,FALSE,NA,FALSE,2013-05-06 11:06:54,NA
2013-05-06 21:15:05,TRUE,FALSE,NA,FALSE,2013-05-06 21:15:05,NA
2013-05-07 11:00:38,FALSE,FALSE,NA,FALSE,2013-05-07 11:05:38,NA
2013-05-07 21:07:19,TRUE,FALSE,NA,FALSE,2013-05-07 21:07:19,NA
2013-05-08 10:42:24,FALSE,FALSE,NA,FALSE,2013-05-08 10:47:24,NA
2013-05-08 21:08:35,TRUE,FALSE,NA,FALSE,2013-05-08 21:08:35,NA
2013-05-09 10:51:28,FALSE,FALSE,NA,FALSE,2013-05-09 10:56:28,NA
2013-05-09 21:00:35,TRUE,FALSE,NA,FALSE,2013-05-09 21:00:35,NA
2013-05-10 10:48:19,FALSE,FALSE,NA,FALSE,2013-05-10 10:53:19,NA
