"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2014-03-23 08:55:56,FALSE,FALSE,0,FALSE,2014-03-23 08:55:56,0
2014-03-23 20:08:53,TRUE,FALSE,0,FALSE,2014-03-23 20:08:53,0
2014-03-24 08:52:12,FALSE,FALSE,0,FALSE,2014-03-24 08:52:12,0
2014-03-24 20:07:21,TRUE,FALSE,0,FALSE,2014-03-24 20:07:21,0
2014-03-25 08:56:46,FALSE,FALSE,0,FALSE,2014-03-25 08:56:46,0
2014-03-25 20:05:44,TRUE,FALSE,0,FALSE,2014-03-25 20:05:44,0
2014-03-26 08:52:49,FALSE,FALSE,0,FALSE,2014-03-26 08:52:49,0
2014-03-26 20:23:04,TRUE,FALSE,0,FALSE,2014-03-26 20:23:04,0
2014-03-27 08:46:47,FALSE,FALSE,0,FALSE,2014-03-27 08:46:47,0
2014-03-27 20:23:04,TRUE,FALSE,0,FALSE,2014-03-27 20:23:04,0
2014-03-28 08:57:13,FALSE,FALSE,0,FALSE,2014-03-28 08:57:13,0
2014-03-28 20:11:32,TRUE,FALSE,0,FALSE,2014-03-28 20:11:32,0
2014-03-29 08:42:13,FALSE,FALSE,0,FALSE,2014-03-29 08:42:13,0
2014-03-29 20:07:38,TRUE,FALSE,0,FALSE,2014-03-29 20:07:38,0
2014-03-30 08:46:47,FALSE,FALSE,0,FALSE,2014-03-30 08:46:47,0
2014-03-30 20:06:14,TRUE,FALSE,0,FALSE,2014-03-30 20:06:14,0
2014-03-31 08:23:53,FALSE,FALSE,0,FALSE,2014-03-31 08:23:53,0
2014-03-31 20:16:14,TRUE,FALSE,0,FALSE,2014-03-31 20:16:14,0
2014-04-01 08:40:58,FALSE,FALSE,0,FALSE,2014-04-01 08:40:58,0
2014-04-01 20:22:02,TRUE,FALSE,0,FALSE,2014-04-01 20:22:02,0
2014-04-02 08:42:30,FALSE,FALSE,0,FALSE,2014-04-02 08:42:30,0
2014-04-02 20:18:05,TRUE,FALSE,0,FALSE,2014-04-02 20:18:05,0
2014-04-03 08:41:48,FALSE,FALSE,0,FALSE,2014-04-03 08:41:48,0
2014-04-03 20:26:57,TRUE,FALSE,0,FALSE,2014-04-03 20:26:57,0
2014-04-04 08:41:49,FALSE,FALSE,0,FALSE,2014-04-04 08:41:49,0
2014-04-04 20:23:56,TRUE,FALSE,0,FALSE,2014-04-04 20:23:56,0
2014-04-05 08:42:31,FALSE,FALSE,0,FALSE,2014-04-05 08:42:31,0
2014-04-05 20:08:56,TRUE,FALSE,0,FALSE,2014-04-05 20:08:56,0
2014-04-06 08:36:49,FALSE,FALSE,0,FALSE,2014-04-06 08:36:49,0
2014-04-06 20:18:06,TRUE,FALSE,0,FALSE,2014-04-06 20:18:06,0
2014-04-07 08:30:59,FALSE,FALSE,0,FALSE,2014-04-07 08:30:59,0
2014-04-07 20:37:24,TRUE,FALSE,0,FALSE,2014-04-07 20:37:24,0
2014-04-08 08:26:00,FALSE,FALSE,0,FALSE,2014-04-08 08:26:00,0
2014-04-08 20:28:57,TRUE,FALSE,0,FALSE,2014-04-08 20:28:57,0
2014-04-09 08:24:00,FALSE,FALSE,0,FALSE,2014-04-09 08:24:00,0
2014-04-09 20:27:41,TRUE,FALSE,0,FALSE,2014-04-09 20:27:41,0
2014-04-10 08:21:50,FALSE,FALSE,0,FALSE,2014-04-10 08:21:50,0
2014-04-10 20:33:07,TRUE,FALSE,0,FALSE,2014-04-10 20:33:07,0
2014-04-11 08:32:32,FALSE,FALSE,0,FALSE,2014-04-11 08:32:32,0
2014-04-11 20:37:25,TRUE,FALSE,0,FALSE,2014-04-11 20:37:25,0
2014-04-12 08:26:01,FALSE,FALSE,0,FALSE,2014-04-12 08:26:01,0
2014-04-12 20:23:08,TRUE,FALSE,0,FALSE,2014-04-12 20:23:08,0
2014-04-13 08:26:01,FALSE,FALSE,0,FALSE,2014-04-13 08:26:01,0
2014-04-13 20:18:08,TRUE,FALSE,0,FALSE,2014-04-13 20:18:08,0
2014-04-14 08:22:33,FALSE,FALSE,0,FALSE,2014-04-14 08:22:33,0
2014-04-14 20:21:17,TRUE,FALSE,0,FALSE,2014-04-14 20:21:17,0
2014-04-15 08:24:01,FALSE,FALSE,0,FALSE,2014-04-15 08:24:01,0
2014-04-15 20:26:17,TRUE,FALSE,0,FALSE,2014-04-15 20:26:17,0
2014-04-16 08:31:52,FALSE,FALSE,0,FALSE,2014-04-16 08:31:52,0
2014-04-16 20:25:50,TRUE,FALSE,0,FALSE,2014-04-16 20:25:50,0
2014-04-17 08:16:52,FALSE,FALSE,0,FALSE,2014-04-17 08:16:52,0
2014-04-17 20:28:59,TRUE,FALSE,0,FALSE,2014-04-17 20:28:59,0
2014-04-18 08:17:18,FALSE,FALSE,0,FALSE,2014-04-18 08:17:18,0
2014-04-18 20:33:59,TRUE,FALSE,0,FALSE,2014-04-18 20:33:59,0
2014-04-19 08:56:02,FALSE,FALSE,0,FALSE,2014-04-19 08:56:02,0
2014-04-19 20:42:15,TRUE,FALSE,0,FALSE,2014-04-19 20:42:15,0
2014-04-20 09:26:03,FALSE,FALSE,0,FALSE,2014-04-20 09:26:03,0
2014-04-20 21:07:01,TRUE,FALSE,0,FALSE,2014-04-20 21:07:01,0
2014-04-21 09:43:44,FALSE,FALSE,0,FALSE,2014-04-21 09:43:44,0
2014-04-21 20:52:14,TRUE,FALSE,0,FALSE,2014-04-21 20:52:14,0
2014-04-22 10:01:53,FALSE,FALSE,0,FALSE,2014-04-22 10:01:53,0
2014-04-22 20:58:10,TRUE,FALSE,0,FALSE,2014-04-22 20:58:10,0
2014-04-23 10:06:53,FALSE,FALSE,0,FALSE,2014-04-23 10:06:53,0
2014-04-23 21:09:00,TRUE,FALSE,0,FALSE,2014-04-23 21:09:00,0
2014-04-24 10:42:20,FALSE,FALSE,0,FALSE,2014-04-24 10:42:20,0
2014-04-24 21:27:17,TRUE,FALSE,0,FALSE,2014-04-24 21:27:17,0
2014-04-25 10:48:26,FALSE,FALSE,0,FALSE,2014-04-25 10:48:26,0
2014-04-25 21:14:01,TRUE,FALSE,0,FALSE,2014-04-25 21:14:01,0
2014-04-26 10:56:54,FALSE,FALSE,0,FALSE,2014-04-26 10:56:54,0
2014-04-26 21:14:01,TRUE,FALSE,0,FALSE,2014-04-26 21:14:01,0
2014-04-27 10:56:04,FALSE,FALSE,0,FALSE,2014-04-27 10:56:04,0
2014-04-27 21:17:45,TRUE,FALSE,0,FALSE,2014-04-27 21:17:45,0
2014-04-28 10:57:36,FALSE,FALSE,0,FALSE,2014-04-28 10:57:36,0
2014-04-28 21:17:03,TRUE,FALSE,0,FALSE,2014-04-28 21:17:03,0
2014-04-29 10:52:21,FALSE,FALSE,0,FALSE,2014-04-29 10:52:21,0
2014-04-29 21:17:46,TRUE,FALSE,0,FALSE,2014-04-29 21:17:46,0
2014-04-30 10:46:55,FALSE,FALSE,0,FALSE,2014-04-30 10:46:55,0
2014-04-30 21:27:30,TRUE,FALSE,0,FALSE,2014-04-30 21:27:30,0
2014-05-01 10:57:21,FALSE,FALSE,0,FALSE,2014-05-01 10:57:21,0
2014-05-01 21:08:12,TRUE,FALSE,0,FALSE,2014-05-01 21:08:12,0
2014-05-02 10:59:25,FALSE,FALSE,0,FALSE,2014-05-02 10:59:25,0
2014-05-02 21:18:13,TRUE,FALSE,0,FALSE,2014-05-02 21:18:13,0
2014-05-03 10:57:22,FALSE,FALSE,0,FALSE,2014-05-03 10:57:22,0
2014-05-03 21:19:03,TRUE,FALSE,0,FALSE,2014-05-03 21:19:03,0
2014-05-04 10:52:38,FALSE,FALSE,0,FALSE,2014-05-04 10:52:38,0
2014-05-04 21:19:03,TRUE,FALSE,0,FALSE,2014-05-04 21:19:03,0
2014-05-05 10:52:22,FALSE,FALSE,0,FALSE,2014-05-05 10:52:22,0
2014-05-05 21:21:37,TRUE,FALSE,0,FALSE,2014-05-05 21:21:37,0
2014-05-06 10:43:05,FALSE,FALSE,0,FALSE,2014-05-06 10:43:05,0
2014-05-06 21:15:44,TRUE,FALSE,0,FALSE,2014-05-06 21:15:44,0
2014-05-07 10:14:08,FALSE,TRUE,0,FALSE,2014-05-07 10:14:08,0
2014-05-07 21:07:32,TRUE,FALSE,0,FALSE,2014-05-07 21:07:32,0
2014-05-08 10:49:27,FALSE,FALSE,0,FALSE,2014-05-08 10:49:27,0
2014-05-08 21:22:20,TRUE,FALSE,0,FALSE,2014-05-08 21:22:20,0
2014-05-09 10:39:07,FALSE,FALSE,0,FALSE,2014-05-09 10:39:07,0
2014-05-09 21:12:32,TRUE,FALSE,0,FALSE,2014-05-09 21:12:32,0
2014-05-10 10:52:53,FALSE,FALSE,0,FALSE,2014-05-10 10:52:53,0
2014-05-10 21:17:21,TRUE,FALSE,0,FALSE,2014-05-10 21:17:21,0
2014-05-11 10:57:40,FALSE,FALSE,0,FALSE,2014-05-11 10:57:40,0
2014-05-11 21:14:05,TRUE,FALSE,0,FALSE,2014-05-11 21:14:05,0
2014-05-12 11:03:49,FALSE,FALSE,0,FALSE,2014-05-12 11:03:49,0
2014-05-12 21:07:49,TRUE,FALSE,0,FALSE,2014-05-12 21:07:49,0
2014-05-13 11:01:08,FALSE,FALSE,0,FALSE,2014-05-13 11:01:08,0
2014-05-13 21:02:49,TRUE,FALSE,0,FALSE,2014-05-13 21:02:49,0
2014-05-14 11:04:28,FALSE,FALSE,0,FALSE,2014-05-14 11:04:28,0
2014-05-14 20:49:05,TRUE,FALSE,0,FALSE,2014-05-14 20:49:05,0
2014-05-15 11:06:09,FALSE,FALSE,0,FALSE,2014-05-15 11:06:09,0
2014-05-15 20:19:06,TRUE,FALSE,0,FALSE,2014-05-15 20:19:06,0
2014-05-16 11:23:50,FALSE,FALSE,0,FALSE,2014-05-16 11:23:50,0
2014-05-16 20:03:16,TRUE,FALSE,0,FALSE,2014-05-16 20:03:16,0
2014-05-17 11:31:59,FALSE,FALSE,0,FALSE,2014-05-17 11:31:59,0
2014-05-17 20:09:06,TRUE,FALSE,0,FALSE,2014-05-17 20:09:06,0
2014-05-18 11:36:59,FALSE,FALSE,0,FALSE,2014-05-18 11:36:59,0
2014-05-18 20:08:16,TRUE,FALSE,0,FALSE,2014-05-18 20:08:16,0
2014-05-19 11:32:42,FALSE,FALSE,0,FALSE,2014-05-19 11:32:42,0
2014-05-19 20:16:07,TRUE,FALSE,0,FALSE,2014-05-19 20:16:07,0
2014-05-20 11:37:54,FALSE,FALSE,0,FALSE,2014-05-20 11:37:54,0
2014-05-20 19:54:07,TRUE,FALSE,0,FALSE,2014-05-20 19:54:07,0
2014-05-21 11:32:00,FALSE,FALSE,0,FALSE,2014-05-21 11:32:00,0
2014-05-21 20:02:21,TRUE,FALSE,0,FALSE,2014-05-21 20:02:21,0
2014-05-22 11:31:10,FALSE,FALSE,0,FALSE,2014-05-22 11:31:10,0
2014-05-22 19:59:07,TRUE,FALSE,0,FALSE,2014-05-22 19:59:07,0
2014-05-23 11:18:46,FALSE,FALSE,0,FALSE,2014-05-23 11:18:46,0
2014-05-23 20:12:24,TRUE,FALSE,0,FALSE,2014-05-23 20:12:24,0
2014-05-24 11:27:27,FALSE,FALSE,0,FALSE,2014-05-24 11:27:27,0
2014-05-24 20:07:52,TRUE,FALSE,0,FALSE,2014-05-24 20:07:52,0
2014-05-25 11:39:38,FALSE,FALSE,0,FALSE,2014-05-25 11:39:38,0
2014-05-25 20:02:52,TRUE,FALSE,0,FALSE,2014-05-25 20:02:52,0
2014-05-26 11:56:11,FALSE,FALSE,0,FALSE,2014-05-26 11:56:11,0
2014-05-26 19:51:27,TRUE,FALSE,0,FALSE,2014-05-26 19:51:27,0
