"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2014-04-05 08:37:33,FALSE,FALSE,NA,FALSE,2014-04-05 08:42:33,NA
2014-04-05 20:21:59,TRUE,FALSE,NA,FALSE,2014-04-05 20:21:59,NA
2014-04-06 08:45:42,FALSE,FALSE,NA,FALSE,2014-04-06 08:50:42,NA
2014-04-06 20:30:08,TRUE,FALSE,NA,FALSE,2014-04-06 20:30:08,NA
2014-04-07 08:40:42,FALSE,FALSE,NA,FALSE,2014-04-07 08:45:42,NA
2014-04-07 20:46:05,TRUE,FALSE,NA,FALSE,2014-04-07 20:46:05,NA
2014-04-08 08:40:42,FALSE,FALSE,NA,FALSE,2014-04-08 08:45:42,NA
2014-04-08 20:36:59,TRUE,FALSE,NA,FALSE,2014-04-08 20:36:59,NA
2014-04-09 08:44:52,FALSE,FALSE,NA,FALSE,2014-04-09 08:49:52,NA
2014-04-09 20:40:56,TRUE,FALSE,NA,FALSE,2014-04-09 20:40:56,NA
2014-04-10 08:36:08,FALSE,FALSE,NA,FALSE,2014-04-10 08:41:08,NA
2014-04-10 20:39:34,TRUE,FALSE,NA,FALSE,2014-04-10 20:39:34,NA
2014-04-11 08:39:52,FALSE,FALSE,NA,FALSE,2014-04-11 08:44:52,NA
2014-04-11 20:34:49,TRUE,FALSE,NA,FALSE,2014-04-11 20:34:49,NA
2014-04-12 08:36:38,FALSE,FALSE,NA,FALSE,2014-04-12 08:41:38,NA
2014-04-12 20:31:33,TRUE,FALSE,NA,FALSE,2014-04-12 20:31:33,NA
2014-04-13 08:49:52,FALSE,FALSE,NA,FALSE,2014-04-13 08:54:52,NA
2014-04-13 20:31:17,TRUE,FALSE,NA,FALSE,2014-04-13 20:31:17,NA
2014-04-14 08:44:52,FALSE,FALSE,NA,FALSE,2014-04-14 08:49:52,NA
2014-04-14 20:32:49,TRUE,FALSE,NA,FALSE,2014-04-14 20:32:49,NA
2014-04-15 08:38:01,FALSE,FALSE,NA,FALSE,2014-04-15 08:43:01,NA
2014-04-15 20:41:17,TRUE,FALSE,NA,FALSE,2014-04-15 20:41:17,NA
2014-04-16 08:36:08,FALSE,FALSE,NA,FALSE,2014-04-16 08:41:08,NA
2014-04-16 20:36:59,TRUE,FALSE,NA,FALSE,2014-04-16 20:36:59,NA
2014-04-17 08:35:42,FALSE,FALSE,NA,FALSE,2014-04-17 08:40:42,NA
2014-04-17 20:39:29,TRUE,FALSE,NA,FALSE,2014-04-17 20:39:29,NA
2014-04-18 08:35:42,FALSE,FALSE,NA,FALSE,2014-04-18 08:40:42,NA
2014-04-18 20:41:33,TRUE,FALSE,NA,FALSE,2014-04-18 20:41:33,NA
