"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2015-02-13 09:57:56,FALSE,FALSE,0,FALSE,2015-02-13 09:57:56,0
2015-02-13 19:23:31,TRUE,FALSE,0,FALSE,2015-02-13 19:23:31,0
2015-02-14 10:02:14,FALSE,FALSE,0,FALSE,2015-02-14 10:02:14,0
2015-02-14 19:23:31,TRUE,FALSE,0,FALSE,2015-02-14 19:23:31,0
2015-02-15 09:52:14,FALSE,FALSE,0,FALSE,2015-02-15 09:52:14,0
2015-02-15 19:32:16,TRUE,FALSE,0,FALSE,2015-02-15 19:32:16,0
2015-02-16 09:51:24,FALSE,FALSE,0,FALSE,2015-02-16 09:51:24,0
2015-02-16 19:17:35,TRUE,FALSE,0,FALSE,2015-02-16 19:17:35,0
2015-02-17 09:46:25,FALSE,FALSE,0,FALSE,2015-02-17 09:46:25,0
2015-02-17 19:24:22,TRUE,FALSE,0,FALSE,2015-02-17 19:24:22,0
2015-02-18 09:51:25,FALSE,FALSE,0,FALSE,2015-02-18 09:51:25,0
2015-02-18 19:31:07,TRUE,FALSE,0,FALSE,2015-02-18 19:31:07,0
2015-02-19 09:44:48,FALSE,FALSE,0,FALSE,2015-02-19 09:44:48,0
2015-02-19 19:26:22,TRUE,FALSE,0,FALSE,2015-02-19 19:26:22,0
2015-02-20 09:53:09,FALSE,FALSE,0,FALSE,2015-02-20 09:53:09,0
2015-02-20 19:28:32,TRUE,FALSE,0,FALSE,2015-02-20 19:28:32,0
2015-02-21 09:56:25,FALSE,FALSE,0,FALSE,2015-02-21 09:56:25,0
2015-02-21 19:29:22,TRUE,FALSE,0,FALSE,2015-02-21 19:29:22,0
2015-02-22 09:33:24,FALSE,FALSE,0,FALSE,2015-02-22 09:33:24,0
2015-02-22 19:23:32,TRUE,FALSE,0,FALSE,2015-02-22 19:23:32,0
2015-02-23 09:42:15,FALSE,FALSE,0,FALSE,2015-02-23 09:42:15,0
2015-02-23 19:23:32,TRUE,FALSE,0,FALSE,2015-02-23 19:23:32,0
2015-02-24 09:39:26,FALSE,FALSE,0,FALSE,2015-02-24 09:39:26,0
2015-02-24 19:36:14,TRUE,FALSE,0,FALSE,2015-02-24 19:36:14,0
2015-02-25 09:47:16,FALSE,FALSE,0,FALSE,2015-02-25 09:47:16,0
2015-02-25 19:37:51,TRUE,FALSE,0,FALSE,2015-02-25 19:37:51,0
2015-02-26 09:29:26,FALSE,FALSE,0,FALSE,2015-02-26 09:29:26,0
2015-02-26 19:31:08,TRUE,FALSE,0,FALSE,2015-02-26 19:31:08,0
2015-02-27 09:32:16,FALSE,FALSE,0,FALSE,2015-02-27 09:32:16,0
2015-02-27 19:39:23,TRUE,FALSE,0,FALSE,2015-02-27 19:39:23,0
2015-02-28 09:32:58,FALSE,FALSE,0,FALSE,2015-02-28 09:32:58,0
2015-02-28 19:36:03,TRUE,FALSE,0,FALSE,2015-02-28 19:36:03,0
2015-03-01 09:37:58,FALSE,FALSE,0,FALSE,2015-03-01 09:37:58,0
2015-03-01 19:33:33,TRUE,FALSE,0,FALSE,2015-03-01 19:33:33,0
2015-03-02 09:26:26,FALSE,FALSE,0,FALSE,2015-03-02 09:26:26,0
2015-03-02 19:51:09,TRUE,FALSE,0,FALSE,2015-03-02 19:51:09,0
2015-03-03 09:32:17,FALSE,FALSE,0,FALSE,2015-03-03 09:32:17,0
2015-03-03 19:42:52,TRUE,FALSE,0,FALSE,2015-03-03 19:42:52,0
2015-03-04 09:29:27,FALSE,FALSE,0,FALSE,2015-03-04 09:29:27,0
2015-03-04 19:42:40,TRUE,FALSE,0,FALSE,2015-03-04 19:42:40,0
2015-03-05 09:14:27,FALSE,FALSE,0,FALSE,2015-03-05 09:14:27,0
2015-03-05 19:47:40,TRUE,FALSE,0,FALSE,2015-03-05 19:47:40,0
2015-03-06 09:19:08,FALSE,FALSE,0,FALSE,2015-03-06 09:19:08,0
2015-03-06 19:48:08,TRUE,FALSE,0,FALSE,2015-03-06 19:48:08,0
2015-03-07 09:19:27,FALSE,FALSE,0,FALSE,2015-03-07 09:19:27,0
2015-03-07 19:48:08,TRUE,FALSE,0,FALSE,2015-03-07 19:48:08,0
2015-03-08 09:22:17,FALSE,FALSE,0,FALSE,2015-03-08 09:22:17,0
2015-03-08 19:43:34,TRUE,FALSE,0,FALSE,2015-03-08 19:43:34,0
2015-03-09 09:22:43,FALSE,FALSE,0,FALSE,2015-03-09 09:22:43,0
2015-03-09 19:54:25,TRUE,FALSE,0,FALSE,2015-03-09 19:54:25,0
2015-03-10 09:17:18,FALSE,FALSE,0,FALSE,2015-03-10 09:17:18,0
2015-03-10 19:43:35,TRUE,FALSE,0,FALSE,2015-03-10 19:43:35,0
2015-03-11 09:22:44,FALSE,FALSE,0,FALSE,2015-03-11 09:22:44,0
2015-03-11 19:51:25,TRUE,FALSE,0,FALSE,2015-03-11 19:51:25,0
2015-03-12 09:17:18,FALSE,FALSE,0,FALSE,2015-03-12 09:17:18,0
2015-03-12 19:44:25,TRUE,FALSE,0,FALSE,2015-03-12 19:44:25,0
2015-03-13 09:12:44,FALSE,FALSE,0,FALSE,2015-03-13 09:12:44,0
2015-03-13 19:56:10,TRUE,FALSE,0,FALSE,2015-03-13 19:56:10,0
2015-03-14 09:12:18,FALSE,FALSE,0,FALSE,2015-03-14 09:12:18,0
2015-03-14 19:53:35,TRUE,FALSE,0,FALSE,2015-03-14 19:53:35,0
2015-03-15 09:02:44,FALSE,FALSE,0,FALSE,2015-03-15 09:02:44,0
2015-03-15 19:51:25,TRUE,FALSE,0,FALSE,2015-03-15 19:51:25,0
2015-03-16 09:01:29,FALSE,FALSE,0,FALSE,2015-03-16 09:01:29,0
2015-03-16 20:06:11,TRUE,FALSE,0,FALSE,2015-03-16 20:06:11,0
