"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-02-14 09:52:35.907229,FALSE,FALSE,0,FALSE,2016-02-14 09:52:35.907229,0
2016-02-14 19:29:23.855488,TRUE,FALSE,0,FALSE,2016-02-14 19:29:23.855488,0
2016-02-15 09:50:42.332469,FALSE,FALSE,0,FALSE,2016-02-15 09:50:42.332469,0
2016-02-15 19:34:42.8102,TRUE,FALSE,0,FALSE,2016-02-15 19:34:42.8102,0
2016-02-16 09:41:12.030715,FALSE,FALSE,0,FALSE,2016-02-16 09:41:12.030715,0
2016-02-16 19:36:33.869809,TRUE,FALSE,0,FALSE,2016-02-16 19:36:33.869809,0
2016-02-17 09:45:42.332469,FALSE,FALSE,0,FALSE,2016-02-17 09:45:42.332469,0
2016-02-17 19:32:24.315141,TRUE,FALSE,0,FALSE,2016-02-17 19:32:24.315141,0
2016-02-18 09:55:43.332469,FALSE,FALSE,0,FALSE,2016-02-18 09:55:43.332469,0
2016-02-18 19:46:08.667531,TRUE,FALSE,0,FALSE,2016-02-18 19:46:08.667531,0
2016-02-19 09:40:43.332469,FALSE,FALSE,0,FALSE,2016-02-19 09:40:43.332469,0
2016-02-19 19:27:24.315141,TRUE,FALSE,0,FALSE,2016-02-19 19:27:24.315141,0
2016-02-20 09:47:28.145121,FALSE,FALSE,0,FALSE,2016-02-20 10:09:27.684859,0
2016-02-20 19:29:24.855488,TRUE,FALSE,0,FALSE,2016-02-20 19:29:24.855488,0
2016-02-21 09:35:17.130191,FALSE,FALSE,0,FALSE,2016-02-21 09:35:17.130191,0
2016-02-21 19:39:15.092771,TRUE,FALSE,0,FALSE,2016-02-21 19:39:15.092771,0
2016-02-22 09:39:31.359482,FALSE,FALSE,0,FALSE,2016-02-22 09:49:27.684859,0
2016-02-22 19:34:24.855488,TRUE,FALSE,0,FALSE,2016-02-22 19:34:24.855488,0
2016-02-23 09:31:13.030715,FALSE,FALSE,0,FALSE,2016-02-23 09:31:13.030715,0
2016-02-23 19:51:09.667531,TRUE,FALSE,0,FALSE,2016-02-23 19:51:09.667531,0
2016-02-24 09:34:28.684859,FALSE,FALSE,0,FALSE,2016-02-24 09:34:28.684859,0
2016-02-24 19:43:49.936568,TRUE,FALSE,0,FALSE,2016-02-24 19:43:49.936568,0
2016-02-25 09:49:28.684859,FALSE,FALSE,0,FALSE,2016-02-25 09:49:28.684859,0
2016-02-25 19:46:09.667531,TRUE,FALSE,0,FALSE,2016-02-25 19:46:09.667531,0
2016-02-26 09:37:48.0949,FALSE,FALSE,0,FALSE,2016-02-26 09:37:48.0949,0
2016-02-26 19:35:53.119128,TRUE,FALSE,0,FALSE,2016-02-26 19:35:53.119128,0
2016-02-27 09:26:33.307766,FALSE,FALSE,0,FALSE,2016-02-27 09:26:33.307766,0
2016-02-27 19:45:26.14696,TRUE,FALSE,0,FALSE,2016-02-27 19:45:26.14696,0
2016-02-28 09:30:44.332469,FALSE,FALSE,0,FALSE,2016-02-28 09:30:44.332469,0
2016-02-28 19:41:09.667531,TRUE,FALSE,0,FALSE,2016-02-28 19:41:09.667531,0
2016-02-29 09:45:44.332469,FALSE,FALSE,0,FALSE,2016-02-29 09:45:44.332469,0
2016-02-29 19:45:42.536926,TRUE,FALSE,0,FALSE,2016-02-29 19:45:42.536926,0
2016-03-01 09:34:29.684859,FALSE,FALSE,0,FALSE,2016-03-01 09:34:29.684859,0
2016-03-01 19:46:10.667531,TRUE,FALSE,0,FALSE,2016-03-01 19:46:10.667531,0
2016-03-02 09:32:44.950186,FALSE,FALSE,0,FALSE,2016-03-02 09:32:44.950186,0
2016-03-02 19:41:10.667531,TRUE,FALSE,0,FALSE,2016-03-02 19:41:10.667531,0
2016-03-03 09:36:22.100125,FALSE,FALSE,0,FALSE,2016-03-03 09:36:22.100125,0
2016-03-03 19:40:33.899875,TRUE,FALSE,0,FALSE,2016-03-03 19:40:33.899875,0
2016-03-04 09:34:29.684859,FALSE,FALSE,0,FALSE,2016-03-04 09:34:29.684859,0
2016-03-04 19:47:26.315141,TRUE,FALSE,0,FALSE,2016-03-04 19:47:26.315141,0
2016-03-05 09:34:29.684859,FALSE,FALSE,0,FALSE,2016-03-05 09:34:29.684859,0
2016-03-05 19:41:10.667531,TRUE,FALSE,0,FALSE,2016-03-05 19:41:10.667531,0
2016-03-06 09:26:01.880872,FALSE,FALSE,0,FALSE,2016-03-06 09:26:01.880872,0
2016-03-06 19:55:43.536926,TRUE,FALSE,0,FALSE,2016-03-06 19:55:43.536926,0
